Date,Time,Ptch(rad),Roll(rad),Yaw(rad),FM,1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),GPS,GSpd(kmh),Hdg(@),Alt(m),Sats,RxBt(V),Curr(A),Capa(mAh),Rud,Ele,Thr,Ail,S1,S2,SA,SB,SC,SD,SF,SH,LSW,TxBat(V)
2019-01-13,13:55:27.260,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,,0.0,0.00,0,0,0.0,0.0,0,-1,-2,-1024,2,-444,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.7
2019-01-13,13:55:28.250,0.00,0.00,0.00,0,0,0,0,0,1,100,0,0,0,,0.0,0.00,0,0,0.0,0.0,0,0,-1,-1024,2,-444,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.7
2019-01-13,13:55:29.250,0.00,0.00,0.00,0,0,0,0,0,1,100,0,0,0,,0.0,0.00,0,0,0.0,0.0,0,-1,-1,-1024,2,-444,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.7
2019-01-13,13:55:30.250,0.00,0.00,0.00,0,0,0,0,0,1,100,0,0,0,,0.0,0.00,0,0,0.0,0.0,0,0,-1,-1024,2,-444,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.7
2019-01-13,13:55:31.250,0.00,0.00,0.00,0,0,0,0,0,1,100,0,0,0,,0.0,0.00,0,0,0.0,0.0,0,0,-1,-1024,2,-444,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.7
2019-01-13,13:55:32.250,0.00,0.00,0.00,0,0,0,0,0,1,100,0,0,0,,0.0,0.00,0,0,0.0,0.0,0,0,-1,-1024,2,-444,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.7
2019-01-13,13:55:33.250,0.00,0.00,0.00,0,0,0,0,0,1,100,0,0,0,,0.0,0.00,0,0,0.0,0.0,0,0,-2,-1024,2,-444,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.7
2019-01-13,13:55:34.250,0.00,0.00,0.00,0,0,0,0,0,1,100,0,0,0,,0.0,0.00,0,0,0.0,0.0,0,0,-1,-1024,2,-444,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.4
2019-01-13,13:55:35.250,0.00,0.00,0.00,0,0,0,0,0,1,100,0,0,0,,0.0,0.00,0,0,0.0,0.0,0,0,-1,-1024,2,-444,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.4
2019-01-13,13:55:36.250,0.00,0.00,0.00,0,0,0,0,0,1,100,0,0,0,,0.0,0.00,0,0,0.0,0.0,0,0,-1,-1024,2,-444,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.4
2019-01-13,13:55:37.250,0.00,0.00,0.00,0,0,0,0,0,1,100,0,0,0,,0.0,0.00,0,0,0.0,0.0,0,0,-1,-1024,2,-444,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.4
2019-01-13,13:55:38.250,0.00,0.00,0.00,0,0,0,0,0,1,100,0,0,0,,0.0,0.00,0,0,0.0,0.0,0,0,-1,-1024,2,-444,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.4
2019-01-13,13:55:39.250,0.00,0.00,0.00,0,0,0,0,0,1,100,0,0,0,,0.0,0.00,0,0,0.0,0.0,0,0,-1,-1024,2,-444,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.4
2019-01-13,13:55:40.250,0.00,0.00,0.00,0,0,0,0,0,1,100,0,0,0,,0.0,0.00,0,0,0.0,0.0,0,-1,-1,-1024,2,-444,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.4
2019-01-13,13:55:41.250,0.00,0.00,0.00,0,0,0,0,0,1,100,0,0,0,,0.0,0.00,0,0,0.0,0.0,0,0,-1,-1024,2,-444,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.4
2019-01-13,13:55:42.250,0.00,0.00,0.00,0,32,32,100,72,2,25,27,100,69,,0.0,0.00,0,0,0.0,0.0,0,0,-1,-1024,2,-444,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.4
2019-01-13,13:55:43.250,0.00,0.00,0.00,0,31,31,100,76,2,25,28,100,68,,0.0,0.00,0,0,0.0,0.0,0,-1,-1,-1024,2,-444,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.4
2019-01-13,13:55:44.250,0.00,0.00,0.00,0,28,28,100,79,2,25,25,100,72,,0.0,0.00,0,0,0.0,0.0,0,0,-1,-1024,2,-444,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.4
2019-01-13,13:55:45.250,-0.04,0.04,0.00,0,29,29,100,78,2,25,26,100,69,,0.0,0.00,0,0,0.2,0.0,0,0,-1,-1024,2,-444,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.4
2019-01-13,13:55:46.250,-0.04,0.06,0.00,0,30,30,100,75,2,25,25,100,72,,0.0,0.00,0,0,4.8,0.0,0,-1,-1,-1024,2,-444,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.4
2019-01-13,13:55:47.250,-0.04,0.05,0.00,0,29,29,100,78,2,25,25,100,70,,0.0,0.00,0,0,10.1,0.0,0,0,-2,-1024,2,-444,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.4
2019-01-13,13:55:48.250,-0.04,0.05,0.00,0,29,29,100,78,2,25,27,100,69,,0.0,0.00,0,0,14.4,0.0,0,0,-1,-1024,2,-444,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.4
2019-01-13,13:55:49.250,-0.04,0.06,0.00,0,29,29,100,76,2,25,25,100,69,,0.0,0.00,0,0,16.4,0.0,0,0,-1,-1024,2,-444,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.4
2019-01-13,13:55:50.250,-0.04,0.06,0.00,0,29,29,100,74,2,25,26,100,69,,0.0,0.00,0,0,16.4,0.0,0,0,-1,-1024,2,-444,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.5
2019-01-13,13:55:51.250,-0.04,0.06,0.00,0,29,29,100,71,2,25,25,100,70,,0.0,0.00,0,0,17.3,0.0,0,0,-1,-1024,2,-444,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.5
2019-01-13,13:55:52.250,-0.05,0.06,0.00,0,29,29,100,73,2,25,26,100,69,,0.0,0.00,0,0,17.3,0.0,0,0,-1,-1024,2,-444,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.5
2019-01-13,13:55:53.250,-0.05,0.06,0.00,0,29,29,100,71,2,25,26,100,70,,0.0,0.00,0,0,17.1,0.0,0,0,-1,-1024,2,-444,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.5
2019-01-13,13:55:54.250,-0.05,0.06,0.00,0,28,28,100,76,2,25,25,100,68,,0.0,0.00,0,0,16.9,0.0,0,0,-1,-1024,2,-444,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.5
2019-01-13,13:55:55.250,-0.05,0.06,0.00,0,31,31,100,65,2,25,27,100,69,,0.0,0.00,0,0,16.7,0.0,0,0,-1,-1024,2,-444,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.5
2019-01-13,13:55:56.250,-0.05,0.06,0.00,0,30,30,100,69,2,25,27,100,68,,0.0,0.00,0,0,16.7,0.0,0,0,-1,-1024,2,-444,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.5
2019-01-13,13:55:57.250,-0.05,0.06,0.00,0,30,30,100,69,2,25,27,100,69,,0.0,0.00,0,0,16.6,0.0,0,0,-1,-1024,2,-444,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.5
2019-01-13,13:55:58.250,-0.05,-0.05,0.05,0,24,24,100,82,2,25,22,99,74,,0.0,0.00,0,0,16.6,0.0,0,0,-1,-1024,2,-444,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.4
2019-01-13,13:55:59.250,-0.10,-0.44,0.13,0,28,28,100,72,2,25,24,100,69,,0.0,0.00,0,0,16.6,0.0,0,0,-1,-1024,2,-444,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.4
2019-01-13,13:56:00.250,-0.10,-0.44,0.13,0,29,29,100,74,2,25,25,100,70,,0.0,0.00,0,0,16.6,0.0,0,0,-1,-1024,2,-444,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.4
2019-01-13,13:56:01.250,-0.05,0.05,0.00,0,29,29,100,75,2,25,25,100,69,,0.0,0.00,0,0,16.6,0.0,0,0,-1,-1024,2,-444,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.4
2019-01-13,13:56:02.250,-0.06,0.06,0.00,0,29,29,100,71,2,25,26,100,71,,0.0,0.00,0,0,16.6,0.0,0,0,-1,-1024,2,-444,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.4
2019-01-13,13:56:03.250,-0.06,0.08,-0.27,0,29,29,100,76,2,25,26,100,70,,0.0,0.00,0,0,16.6,0.0,0,0,-1,-1024,2,-444,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.4
2019-01-13,13:56:04.250,-0.05,0.05,-0.27,0,29,29,100,68,2,25,25,100,70,,0.0,0.00,0,0,16.6,0.0,0,0,-1,-1024,2,-444,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.4
2019-01-13,13:56:05.250,-0.05,0.04,-0.27,0,29,29,100,73,2,25,24,100,72,,0.0,0.00,0,0,16.6,0.0,0,0,-1,-1024,2,-444,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.4
2019-01-13,13:56:06.250,-0.05,0.04,-0.27,0,29,29,100,72,2,25,26,100,72,,0.0,0.00,0,0,16.6,0.0,0,0,-1,-1024,2,-444,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.4
2019-01-13,13:56:07.250,-0.04,0.04,-0.28,0,30,30,100,81,1,100,26,14,71,,0.0,0.00,0,0,16.6,0.0,0,-1,-1,-1024,2,-444,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.4
2019-01-13,13:56:08.250,-0.04,0.04,-0.28,0,30,30,100,81,1,100,26,0,71,,0.0,0.00,0,0,16.6,0.0,0,0,-1,-1024,2,-444,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.4
2019-01-13,13:56:09.250,-0.04,0.04,-0.28,0,30,30,100,81,1,100,26,0,71,,0.0,0.00,0,0,16.6,0.0,0,0,-2,-1024,2,-444,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.4
2019-01-13,13:56:10.250,-0.04,0.04,-0.28,0,30,30,100,81,1,100,26,0,71,,0.0,0.00,0,0,16.6,0.0,0,0,-1,-1024,2,-444,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.4
2019-01-13,13:56:11.250,-0.04,0.04,-0.28,0,30,30,100,81,1,100,26,0,71,,0.0,0.00,0,0,16.6,0.0,0,-1,-1,-1024,2,-444,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.4
2019-01-13,13:56:12.250,-0.04,0.04,-0.28,0,30,30,100,81,1,100,26,0,71,,0.0,0.00,0,0,16.6,0.0,0,-1,-1,-1024,2,-444,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.4
2019-01-13,13:56:13.250,-0.04,0.04,-0.28,0,30,30,100,81,1,100,26,0,71,,0.0,0.00,0,0,16.6,0.0,0,0,-1,-1024,2,-444,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.4
2019-01-13,13:56:14.250,-0.04,0.04,-0.28,0,30,30,0,0,1,100,26,0,71,,0.0,0.00,0,0,16.6,0.0,0,-1,-1,-1024,2,-444,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.4
2019-01-13,13:56:15.250,-0.04,0.04,-0.28,0,30,30,0,0,1,100,26,0,71,,0.0,0.00,0,0,16.6,0.0,0,0,-1,-1024,2,-444,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.4
2019-01-13,13:56:16.250,-0.04,0.04,-0.28,0,30,30,0,0,1,100,26,0,71,,0.0,0.00,0,0,16.6,0.0,0,-1,-1,-1024,2,-444,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.4
2019-01-13,13:56:17.250,-0.04,0.04,-0.28,0,30,30,0,0,1,100,26,0,71,,0.0,0.00,0,0,16.6,0.0,0,0,-2,-1024,2,-444,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.4
2019-01-13,13:56:18.250,-0.04,0.04,-0.28,0,30,30,0,0,1,100,26,0,71,,0.0,0.00,0,0,16.6,0.0,0,0,-1,-1024,2,-444,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.4
2019-01-13,13:56:19.250,-0.04,0.04,-0.28,0,30,30,0,0,1,100,26,0,71,,0.0,0.00,0,0,16.6,0.0,0,0,-1,-1024,2,-444,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.4
2019-01-13,13:56:20.250,-0.04,0.04,-0.28,0,30,30,0,0,1,100,26,0,71,,0.0,0.00,0,0,16.6,0.0,0,-1,-1,-1024,2,-444,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.4
2019-01-13,13:56:21.250,-0.04,0.04,-0.28,0,30,30,0,0,1,100,26,0,71,,0.0,0.00,0,0,16.6,0.0,0,-1,-1,-1024,2,-444,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.4
2019-01-13,13:56:22.250,-0.04,0.04,-0.28,0,30,30,0,0,1,100,26,0,71,,0.0,0.00,0,0,16.6,0.0,0,0,-1,-1024,2,-444,-1024,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.4
