"","Date","Time","Ptch.rad.","Roll.rad.","Yaw.rad.","FM","X1RSS.dB.","X2RSS.dB.","RQly...","RSNR.dB.","RFMD","TPWR.mW.","TRSS.dB.","TQly...","TSNR.dB.","lat","lon","GSpd.kmh.","Hdg...","Alt.m.","Sats","RxBt.V.","Curr.A.","Capa.mAh.","Rud","Ele","Thr","Ail","S1","S2","SA","SB","SC","SD","SF","SH","LSW","TxBat.V."
"10","2019-03-29","13:41:47.850",0.01,-0.02,-0.29,0,30,30,100,72,2,25,21,100,79,7.389844,-125.892953,0,0,0,0,16.6,0,0,-3,-5,-1024,3,718,107,-1,-1,-1,-1,-1,-1,0,7.4
"11","2019-03-29","13:41:48.850",0.01,-0.02,-0.29,0,29,29,100,69,2,25,20,100,78,7.354464,-125.836531,0,0,0,0,16.6,0,0,-3,-6,-1024,3,718,108,-1,-1,-1,-1,-1,-1,0,7.4
"12","2019-03-29","13:41:49.850",0.01,-0.02,-0.29,0,30,30,100,67,2,25,21,100,79,7.567996,-126.295398,0,0,0,0,16.6,0,0,-3,-6,-1024,2,719,108,-1,-1,-1,-1,-1,-1,0,7.4
"13","2019-03-29","13:41:50.850",0.01,-0.02,-0.29,0,29,29,100,71,2,25,20,100,79,7.737316,-126.657881,0,0,0,0,16.6,0,0,-3,-6,-1024,3,718,108,-1,-1,-1,-1,-1,-1,0,7.4
"14","2019-03-29","13:41:51.850",0.01,-0.02,-0.29,0,29,29,100,70,2,25,20,100,81,7.53396,-126.254694,0,0,0,0,16.6,0,0,-3,-5,-1024,3,719,108,-1,-1,-1,-1,-1,-1,0,7.4
"15","2019-03-29","13:41:52.850",0.01,-0.02,-0.29,0,29,29,100,69,2,25,20,100,81,7.706273,-126.629862,0,0,0,0,16.6,0,0,-3,-6,-1024,3,718,108,-1,-1,-1,-1,-1,-1,0,7.4
"16","2019-03-29","13:41:53.850",0.01,-0.02,-0.29,0,29,29,100,78,2,25,20,100,81,23.666212,-127.866355,0,0,0,0,16.6,0,0,-3,-6,-1024,2,718,108,-1,-1,-1,-1,-1,-1,0,7.4
"17","2019-03-29","13:41:54.850",0.01,-0.02,-0.29,0,31,31,100,67,2,25,22,100,76,23.589998,-128.154867,0,0,0,0,16.6,0,0,-3,-6,-1024,2,718,107,-1,-1,-1,-1,-1,-1,0,7.4
"18","2019-03-29","13:41:55.850",0.01,-0.02,-0.29,0,30,30,100,70,2,25,22,100,80,22.798515,-128.101939,0,0,0,0,16.6,0,0,-3,-5,-1024,3,719,108,-1,-1,-1,-1,-1,-1,0,7.4
"19","2019-03-29","13:41:56.850",0.01,-0.02,-0.29,0,30,30,100,76,2,25,26,100,73,24.082995,-129.372697,0,0,0,0,16.6,0,0,-3,-6,-1024,2,718,108,-1,-1,-1,-1,-1,-1,0,7.4
"20","2019-03-29","13:41:57.850",0.01,-0.02,-0.29,0,33,33,100,64,2,25,23,100,78,23.738392,-129.061017,0,0,0,0,16.6,0,0,-3,-6,-1024,2,719,107,-1,-1,-1,-1,-1,-1,0,7.4
"21","2019-03-29","13:41:58.850",0.01,-0.02,-0.29,0,29,29,100,71,2,25,21,100,80,23.732844,-129.058803,0,0,0,0,16.6,0,0,-3,-5,-1024,3,718,107,-1,-1,-1,-1,-1,-1,0,7.4
"22","2019-03-29","13:41:59.850",0.01,-0.02,-0.29,0,29,29,100,72,2,25,20,100,82,23.165267,-127.766502,0,0,0,0,16.6,0,0,-3,-6,-1024,2,718,107,-1,-1,-1,-1,-1,-1,0,7.4
"23","2019-03-29","13:42:00.850",0.01,-0.02,-0.29,0,34,34,100,67,2,25,24,100,76,20.23719,-127.168537,0,0,0,0,16.6,0,0,-3,-5,-1024,2,718,108,-1,-1,-1,-1,-1,-1,0,7.4
"24","2019-03-29","13:42:01.850",0.01,-0.02,-0.29,0,32,32,100,66,2,25,24,100,77,23.235467,-129.286336,0,0,0,0,16.6,0,0,-3,-6,-1024,3,718,108,-1,-1,-1,-1,-1,-1,0,7.4
"25","2019-03-29","13:42:02.850",0.01,-0.02,-0.29,0,36,36,100,69,2,25,26,100,73,20.108792,-128.905523,0,0,0,0,16.6,0,0,-3,-5,-1024,2,719,108,-1,-1,-1,-1,-1,-1,0,7.4
"26","2019-03-29","13:42:03.850",0.01,-0.02,-0.27,0,31,31,100,69,2,25,21,100,79,22.666665,-128.056972,0,0,0,0,16.6,0,0,-3,-6,-1024,3,718,107,-1,-1,-1,-1,-1,-1,0,7.4
