Date,Time,Ptch(rad),Roll(rad),Yaw(rad),FM,1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),GPS,GSpd(kmh),Hdg(@),Alt(m),Sats,RxBt(V),Curr(A),Capa(mAh),Rud,Ele,Thr,Ail,S1,S2,SA,SB,SC,SD,SF,SH,LSW,TxBat(V)
2019-03-29,13:41:38.890,0.00,0.00,0.00,0,0,0,0,0,1,25,0,0,0,,0.0,0.00,0,0,0.0,0.0,0,-5,-6,-1024,2,718,108,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.5
2019-03-29,13:41:39.850,0.01,-0.01,-0.29,0,19,19,96,82,2,0,23,83,81,,0.0,0.00,0,0,16.6,0.0,0,-3,-5,-1024,2,719,108,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.5
2019-03-29,13:41:40.850,0.01,-0.02,-0.29,0,23,23,100,80,2,100,21,100,81,,0.0,0.00,0,0,16.6,0.0,0,-3,-5,-1024,2,718,107,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.5
2019-03-29,13:41:41.850,0.01,-0.02,-0.29,0,23,23,100,74,2,100,20,100,83,,0.0,0.00,0,0,16.6,0.0,0,-3,-5,-1024,2,719,107,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.5
2019-03-29,13:41:42.850,0.01,-0.02,-0.29,0,27,27,100,75,2,25,20,100,82,,0.0,0.00,0,0,16.6,0.0,0,-3,-5,-1024,3,718,107,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.5
2019-03-29,13:41:43.850,0.01,-0.02,-0.29,0,24,24,100,75,2,25,19,100,81,,0.0,0.00,0,0,16.6,0.0,0,-3,-5,-1024,3,719,107,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.4
2019-03-29,13:41:44.850,0.01,-0.02,-0.29,0,30,30,100,70,2,25,23,100,77,,0.0,0.00,0,0,16.6,0.0,0,-3,-6,-1024,2,718,108,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.4
2019-03-29,13:41:45.850,0.01,-0.02,-0.29,0,33,33,100,69,2,25,24,100,77,,0.0,0.00,0,0,16.6,0.0,0,-3,-5,-1024,3,718,108,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.4
2019-03-29,13:41:46.850,0.01,-0.02,-0.29,0,29,29,100,69,2,25,20,100,79,,0.0,0.00,0,0,16.6,0.0,0,-3,-5,-1024,3,718,108,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.4
2019-03-29,13:41:47.850,0.01,-0.02,-0.29,0,30,30,100,72,2,25,21,100,79,7.389844 -125.892953,0.0,0.00,0,0,16.6,0.0,0,-3,-5,-1024,3,718,107,-1,-1,-1,-1,-1,-1,0x0000000000000000,7.4
